,invoice_id,cust_number,name_customer,Industry_Sector,buisness_year,issue_date,due_in_date,invoice_currency,total_open_amount,clear_date,isOpen,Ground_Truth,issue_date_format,due_in_date_format,clear_date_format,time_taken_for_payment,payment_category,sector_format,no_of_days_for_due_pay,US_Dollars,no_of_early_pays,avg_of_early_pays,no_of_OnTime_pays,avg_of_OnTime_pays,no_of_late_pays,avg_of_late_pays,no_of_VeryLate_pays,avg_of_VeryLate_pays,no_of_CriticallyLate_pays,avg_of_CriticallyLate_pays
87,1929559339.0,200769623,WAL-MAR systems,Retail,2019,6/30/19,20190715,USD,48129.8,07/10/19 0:00,0,,2019-06-30,2019-07-15,2019-07-10,-5.0,Early,Retail,15,48129.8,75,21863.938348868174,1,11085.927272727273,14,21987.720567375887,1,791.8272727272727,0,0.0
89,1929940577.0,200769623,WAL-MAR corp,Retail,2019,9/29/19,20191014,USD,5957.04,10/10/19 0:00,0,,2019-09-29,2019-10-14,2019-10-10,-4.0,Early,Retail,15,5957.04,109,24251.933822181476,1,11085.927272727273,19,22865.912565445025,1,791.8272727272727,0,0.0
90,1929767246.0,200769623,WAL-MAR llc,Retail,2019,8/21/19,20190905,USD,423.47,09/03/19 0:00,0,,2019-08-21,2019-09-05,2019-09-03,-2.0,Early,Retail,15,423.47,97,23450.63048403707,1,11085.927272727273,18,24033.357458563536,1,791.8272727272727,0,0.0
91,1928896405.0,100028210,WEST  trust,,2019,03/04/19,20190319,USD,32415.05,3/23/19 0:00,0,,2019-03-04,2019-03-19,2019-03-23,4.0,Late,AllSectors,15,32415.05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
92,1929773090.0,200769623,WAL-MAR llc,Retail,2019,8/22/19,20190906,USD,1328.25,09/03/19 0:00,0,,2019-08-22,2019-09-06,2019-09-03,-3.0,Early,Retail,15,1328.25,99,23689.139656912204,1,11085.927272727273,18,24033.357458563536,1,791.8272727272727,0,0.0
93,1929670921.0,200743129,BROOKS in,,2019,7/28/19,20190812,USD,116300.54,8/14/19 0:00,0,,2019-07-28,2019-08-12,2019-08-14,2.0,Late,AllSectors,15,116300.54,0,0.0,0,0.0,1,93770.33636363635,0,0.0,0,0.0
96,1930395778.0,200783609,PROFIC corporation,,2020,1/14/20,20200129,USD,20306.46,1/29/20 0:00,0,,2020-01-14,2020-01-29,2020-01-29,0.0,OnTime,AllSectors,15,20306.46,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
97,1930174350.0,100033266,INTERN trust,,2019,11/25/19,20191210,USD,17243.1,12/24/19 0:00,0,,2019-11-25,2019-12-10,2019-12-24,14.0,Late,AllSectors,15,17243.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
98,1930512246.0,200744019,TARG associates,,2020,02/11/20,20200226,USD,22993.63,2/26/20 0:00,0,,2020-02-11,2020-02-26,2020-02-26,0.0,OnTime,AllSectors,15,22993.63,3,22686.08387096774,2,61767.94285714285,10,28943.765346534656,0,0.0,0,0.0
99,1929651119.0,200705089,JETR foundation,,2019,7/23/19,20190807,USD,18939.75,08/07/19 0:00,0,,2019-07-23,2019-08-07,2019-08-07,0.0,OnTime,AllSectors,15,18939.75,0,0.0,1,9359.427272727273,1,13062.6,0,0.0,0,0.0
