,no_of_days_for_due_pay,US_Dollars,no_of_early_pays,avg_of_early_pays,no_of_OnTime_pays,avg_of_OnTime_pays,no_of_late_pays,avg_of_late_pays,no_of_VeryLate_pays,avg_of_VeryLate_pays,no_of_CriticallyLate_pays,avg_of_CriticallyLate_pays,sector_label
252,16,17336.04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
253,15,53750.69,55,19069.42649727768,1,11085.927272727273,8,17723.343209876544,1,791.8272727272727,0,0.0,2
255,20,113.47,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
256,35,74819.57,1,7003.636363636363,1,14768.30909090909,4,15038.624390243904,0,0.0,0,0.0,0
257,15,22990.16,0,0.0,2,85423.72380952381,5,82578.71176470589,1,9044.581818181818,0,0.0,0
259,15,5595.12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
261,35,1264.16,1,7003.636363636363,1,14768.30909090909,1,20640.0,0,0.0,0,0.0,0
262,0,3195.37,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
263,15,15804.65,149,23885.63024815559,1,11085.927272727273,29,24292.270790378003,1,791.8272727272727,0,0.0,2
266,15,17520.12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
267,65,3490.87,0,0.0,0,0.0,1,60473.0909090909,0,0.0,0,0.0,0
269,18,48990.9205,0,0.0,0,0.0,3,29373.596774193546,0,0.0,0,0.0,0
270,15,96922.79,0,0.0,2,108501.7,0,0.0,0,0.0,0,0.0,0
271,15,2407.15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
273,15,1897.5,93,23241.50128893662,1,11085.927272727273,18,24033.357458563536,1,791.8272727272727,0,0.0,2
274,15,14232.21,71,20287.749226441625,1,11085.927272727273,12,20537.457851239673,1,791.8272727272727,0,0.0,2
276,15,15925.12,0,0.0,1,6592.272727272727,0,0.0,0,0.0,0,0.0,0
278,15,15725.29,0,0.0,5,60627.09411764707,15,36140.42649006623,0,0.0,0,0.0,0
279,15,7224.52,1,2840.636363636363,0,0.0,1,5183.290909090909,0,0.0,0,0.0,0
280,15,510.06,0,0.0,11,10120.578378378379,13,14516.26717557252,0,0.0,0,0.0,0
281,15,36211.47,177,23859.43083003952,1,11085.927272727273,33,23431.687613293045,1,791.8272727272727,0,0.0,2
282,15,16793.1,43,21267.493039443158,0,0.0,7,20161.547887323944,1,791.8272727272727,0,0.0,2
283,15,2974.01,4,22928.37073170732,0,0.0,0,0.0,0,0.0,0,0.0,2
284,15,61646.9,9,26385.17472527473,4,12959.068292682929,5,19066.343137254906,0,0.0,0,0.0,0
285,15,52396.08,3,55643.96129032257,4,23342.107317073172,13,41305.300763358784,0,0.0,0,0.0,0
286,30,16912.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
287,65,245.54,2,33372.05714285714,0,0.0,7,33083.2014084507,0,0.0,0,0.0,0
289,15,16930.48,0,0.0,1,44166.52727272727,1,11580.709090909091,0,0.0,0,0.0,0
290,15,14949.55,186,24019.34476088125,1,11085.927272727273,37,24627.481940700804,1,791.8272727272727,0,0.0,2
291,15,29880.86,8,19865.988888888893,0,0.0,0,0.0,0,0.0,0,0.0,2
292,34,2960.57,1,3320.3090909090906,3,8635.535483870968,1,10420.172727272728,0,0.0,0,0.0,0
